state,tweetsADay
Alaska,0
Alabama,37
Arizona,54
Arkansas,13
California,421
Colorado,55
Connecticut,118
Delaware,17
Florida,1107
Georgia,107
Hawaii,11
Idaho,5
Illinois,105
Indiana,49
Iowa,26
Kansas,20
Kentucky,31
Louisiana,38
Maine,12
Maryland,130
Massachusetts,119
Michigan,67
Minnesota,66
Mississippi,23
Missouri,37
Montana,9
Nebraska,13
Nevada,22
New Hampshire,11
New Jersey,180
New Mexico,10
New York,1002
North Carolina,100
North Dakota,3
Ohio,83
Oklahoma,29
Oregon,47
Pennsylvania,175
Rhode Island,55
South Carolina,61
South Dakota,3
Tennessee,61
Texas,312
Utah,21
Vermont,11
Virginia,108
Washington,69
West Virginia,11
Wisconsin,60
Wyoming,3
